TotalLength_cm,StandardLength_cm,Weight_g
9.6,7.3,15.7
9.1,6.7,13.8
9.05,6.95,14.8
9.8,7.2,16.5
8.25,6.3,10.3
9,6.9,13.4
9.4,7.15,13.1
8.6,6.5,11
8.5,6.4,10.9
8,6.4,8.6
8.1,6.2,8.7
8.6,6.3,11.4
8.8,6.7,10.8
8.3,6.3,10.4
8.65,6.5,11.1
8.85,6.65,11.3
7.8,5.9,8.3
8.25,6.3,8.8
8.4,6.15,9.9
8.85,6.7,11.4
8.5,6.4,9.6
8.3,6.35,9.9
8.15,6.15,8.7
8.35,6.1,9.6
7.75,6.85,8.1
8.75,6.75,12
8,5.8,9
11.65,7.9,20.6
9,6.75,13
13,9.8,35.2
8.15,6.1,11.2
8.1,6,9.3
8.9,6.9,11.5
7.8,5.9,7.9
11.9,9.1,29.1
12.6,9.7,36.6
10.5,7.8,23.1
9.9,7.6,17.5
8.4,6.3,10.2
12.2,9.3,33.8
11.3,8.6,28.5
11.1,8.4,21.8
8.9,6.8,12.7
10.1,7.7,16.3
9.2,7,12.6
9.8,7.3,16.1
10.8,8.3,22.4
9.2,6.9,13.6
13,9.7,34.3
10.9,8.2,24.1
14,10.65,56.1
13.15,10,46.3
11.05,8.2,26.6
10.4,7.85,20.8
12,8.95,30.9
10,7.7,19.9
13,10,48.9
12.5,9.5,38.6
14.4,11,63.4
12.2,9,33.4
14.5,11,59.9
12.7,9.35,36.9
9.6,7.3,18.3
8.5,6.35,10.6
11.6,8.8,27.6
10.2,7.8,19.1
10.35,7.8,20.7
12.2,9.35,36.1
13,9.8,41.6
9.3,7.6,14.9
14.35,11.05,53.3
14.25,11.2,54.7
14.95,11.6,68.5
13.6,10.1,42.3
12.9,10.1,39.5
12.7,9.65,36.2
11.9,9.1,24.5
12,9.2,28.8
10.8,8.35,21.1
11.2,8.8,24.3
10.9,8.2,18.8
10,7.8,18
10.3,7.8,16.7
10,7.6,18.9
9,6.8,13.9
9.3,6.8,12.6
9.2,7,13.9
9.9,7.4,15.3
9.2,7,15
9.5,7.3,14.7
9.05,7.05,13.7
9.3,7,12.6
17,13,77.7
15.6,12.1,70
15.6,11.4,66.3
16.4,11.8,62
15,11.8,68.6
13,9.8,45.1
13,9.8,43
11.4,8.8,30.5
12,9,29.9
11.2,8.5,27.2
11.3,8.5,28.2
10.8,8.2,24.7
10.9,8.1,24
11.2,7.6,20.4
10,7.4,17.9
10.6,8.1,23.4
9.9,7.7,17
9.6,7.2,15.8
9.2,6.9,13.5
9.4,7,15.1
9.5,7.3,15.5
9.6,7.2,16.3
9.4,6.8,14.8
9.3,7,14.9
8.6,6.5,11
8.2,6.2,9.9
8.7,6.5,11.9
7.8,5.8,7.6
7.5,5.6,8.1
8,6,9.5
7.4,5.6,7.6
9.6,7.45,15.6
10.05,7.65,19.7
10.25,7.95,17
9.5,7.2,15.1
9.8,7.8,17.7
9,6.95,14.3
13.3,10.3,44.3
13.5,10.25,44.7
13.4,10.3,42
12.4,9.55,36.6
13.55,10.5,49.2
11.9,9.1,31
13.3,10.15,44.3
13.3,10,42.1
13.55,10.35,42.9
13.8,10.8,51.2
14.1,10.4,52.1
12.5,9.5,36.3
13.4,10.35,46.5
12.75,9.7,43.8
11.9,9.15,30.5
12.9,9.9,38.4
12.9,9.9,42.5
20.8,16,177.7
15,11.8,55.5
15.15,11.5,59.7
16.2,13.1,73
14.2,10.6,32.7
12.8,9.9,47.8
12.15,9.15,20.2
12.4,9.35,36
14.05,10.8,46.1
10.5,8.2,23.1
12.3,9.5,36.8
11.2,8.4,17.9
12.45,9.5,29.1
12.15,9.15,40.7
13.35,10.3,38
10.8,8.3,24.8
12.5,9.5,38.2
10.7,8,16.9
10.75,8.2,20.3
13.5,10.4,44.2
12,9.3,36.4
12.8,9.8,39.1
11.5,8.7,28.4
10.5,8,19.2
10.3,8,23.1
11.25,8.9,28.7
11.2,8.5,24.3
11,8.4,19.1
9.3,7,9.3
8,6,7.6
7.65,5.8,6.6
8.7,6.8,7.5
8.5,6.5,8.05
15.5,11.8,49.1
12,9.1,23
15.1,11.35,45.5
12.9,9.7,38.1
13.4,10.15,35.5
10.2,7.8,16.7
13.3,10,37.5
10.7,8.2,19.1
14.25,10.75,45.1
12.55,9.6,34.3
13.3,9.8,29.4
15.3,11.55,59.5
11.85,8.75,19
13.2,10,38.7
12.95,9.8,32.7
9.9,7.4,11.5
12.5,9.65,32.9
11.2,8.5,21.4
11.15,8.5,21.5
10.4,7.7,14.5
12.8,9.8,27.1
12.65,9.05,29.9
12.85,9.65,33.7
11.5,8.6,23.3
12.6,9.8,37.3
14.25,11.1,50.9
12.5,9.5,29.14
11.2,8.6,30.48
13.4,10.4,50.42
13.7,10.6,47.28
12.85,9.8,31.54
12.85,9.73,37.91
7,5.4,8.06
7.4,5.6,7.69
7,5.2,5.84
7.2,5.3,6.1
6.7,5,5.07
7.23,5.12,6.49
6.8,4.89,5.67
8.82,6.4,10.9
7.3,5.15,5.64
7.46,5.35,6.81
6.57,5.27,5.97
7.26,5.3,5.76
7.67,5.6,8.54
7.02,4.97,6.35
6.9,4.96,6.07
6.7,5.83,4.69
7.53,5.5,6.38
6.73,4.95,5.42
