TotalLength_cm,StandardLength_cm,Weight_g
22.2,16.5,184.4
21.2,16.5,206.6
21.5,16.6,227.3
20.3,16.7,182.1
22,16.7,186.2
22.5,16.8,198.4
22,16.9,234.6
22,17,209.4
22.5,17,298
21.7,17.1,206.5
22.5,17.2,255.5
23.5,17.2,252.6
22.5,17.2,198.4
21.6,17.3,233.3
22.5,17.8,268.6
23.5,17.9,292.6
23.5,18,245.9
23.2,18.2,264.2
23.9,18.2,251.4
23.6,18.2,233.5
23,18.3,301.4
22.6,18.4,216
22.6,18.4,216
23.7,18.5,273.4
10.8,7.9,6
13.2,9.5,59.9
6.3,4.9,1.6
6.2,4.75,1.7
6,4.6,1.65
6.2,4.6,1.8
29.4,23.2,694.98
26.1,23,763.64
33.5,26.4,1004.18
32.3,24.1,717.87
29.4,23.2,694.98
26.1,23,763.64
33.5,26.4,1004.18
32.3,24.1,717.87
13.97,9.93,40
12.3,8.8,34
13.26,9.76,44
13.2,9.88,46
11,8.1,28
12.7,9.44,40
12.2,9.1,36
12.9,9.3,38
13.2,9.7,42
12,8.7,26
12.8,9.1,38
11.5,8.6,22
13.7,10,54
13.2,9.8,30
12.2,9,28
9.8,7.3,14
11,8,24
11.6,8.7,30
10.5,7.5,24
10.8,7.9,20
13.2,10,46
14.5,10.8,54
11.5,8.5,28
11.5,8.5,26
12.5,8.5,28
10.2,7.3,18
12,9.2,28
12.47,8.92,34
11.2,8.2,26
12.2,9,38
8.9,6.5,14
11,8.1,34
11.6,8,22
11.9,8.4,28
11,8.2,22
10,7.1,29
8.9,6.4,14
13,9.5,48
11,8.2,26
12,8.8,32
13,9.6,42
10.5,7.9,20
12.5,9.1,42
11,8.1,24
11.2,10.5,54
10.5,7.8,26
14,10,66
10.5,7.4,24
11,8,22
12,9.2,32
12,9,30
11.5,8.3,30
12,9,34
11.8,9,30
9.2,7,0
12.5,9,38
10.5,7.8,20
13.9,10.5,46
11.5,9,32
9.2,7,16
14.5,11,64
11.5,7.4,22
10,7.9,20
11,8,22
11.5,8.5,28
12,8.9,38
10,7.5,22
11,8.1,24
23.6,18.7,317.6
26,19,385.2
24.2,19,242.4
26.2,19.8,414.5
27.4,19.8,376.7
26,20,395.8
26.4,20.6,419.6
28.1,21,385.5
25.9,21.1,355.6
27.4,21.5,354.3
29,23,423.8
